address,staked_bmx,voter_points
0x17e06f16ce70607f2fACa2DfC7EED07Ab5f0Ad26,4.685984248011449425,6.136261472670520522
0x33df6e2A56bc1a3d606E49A68458f8220d59F49b,4.65128575332685573,5.919544594913651981
0x30A45090EE16F4a5E5e0B7e6B8a54C3e9daa4052,4.551731399192759853,3.11459553180120979
0x9B089dE40C95f122cffa1dD23cabB57a3CdFB3cC,4.30364211099902954,6.242355914279884983
0x0F5654E1e648754a02bcB2048EBFca255a857307,4.09316121021778812,5.961138719543771567
0x77112F18A91e171904C8d71f8bE7fDfbf57F1af4,3.75085424841445967,3.014662990466145422
0x117c2D50b395E055a55544E50C5906B12AAc6197,3.707556844846633572,2.979885798746495248
0xf9e06A74f334B5c2571fe92Ff94281Ef5A065066,3.496650119831372377,4.84715716208021613
0x0e4cb981Aa087847eF0C9F0C0989d884a86D04c3,3,2.804739535768645357
0x723407Bb7a4F0d257422471FDa285F2565baDECE,3,1.95552359208523592
0x2e1f83c3363EA32170ce761908180266dca58F9C,2.951952598687478819,2.817666837188053626
0xDD0948551f44E01715fc45ABb337379a72E02538,2.226905763544123537,2.340265244637995687
0xc780e9bBb8445f5E1C1cB33AeBA910AD5095c434,2.08121538719253402,1.693342596345181759
0x1a14E02A279fb7a9E5b010cf2dA750fa92EDD906,2,0.355464485032978183
0xe4b9c8b98447248A886Eb5EE525Fe63ea7A1C92f,1.429686677589945965,0.927350287341055376
0x8A8bF818b9c3d5E77D650b51D1Ac6327935a9238,1.388915230283377437,0.971333655863113829
0xE450d7eF76E8781A3BCe0Dd0D848Baa3A035B9bD,1.3,1.929224156519533231
0xDA98B64947B57115a8cba2B7B56bD266C87937eE,1.23164102788245487,2.35854261728021443
0xC1f0A14172Eca3d33c6682876A5253996A706ad6,1.177406252268248095,0.846761036936156771
0x0e4cCfbeF268FCA5F10E8213c764Bd53Ed8A32f7,1.162994042969019433,0.742088664473047414
0x9Ce986eAb0495D34AE0fbE67ec705eD712c176f6,1.131070887367349481,1.550113068288636172
0x2B5F20C73d45F0a9D0b9459604Ae1D1c7f10EAb0,1,1.580094875697615423
0x95b05F935655c37ADa2088c5767E5006f230B068,1,0.966327118214104515
0xEa3fe6beD9a8284F8cA37C4C605D0e10702b5281,1,1.276316527143581938
0x9e6374BacD26DddAbaB77ee206eE821258F70f89,0.968234131796570962,0.288881139393311505
